id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
57818,Private house close to the beach!,275948,VonJon,,Hollywood,26.0167,-80.12437,Entire home/apt,191,2,55,8/1/2021,0.56,1,359,14,
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,110,30,2,3/27/2021,0.05,2,201,1,
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,99,7,20,1/26/2020,0.17,8,119,0,
105411,House in the Ranches,532930,Sonia,,Southwest Ranches,26.04678,-80.36809,Entire home/apt,235,4,5,8/27/2012,0.05,1,116,0,
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,250,20,18,3/26/2021,0.16,6,364,3,
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,250,10,25,3/15/2021,0.21,6,365,1,
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,11/8/2019,0.21,1,94,0,
216046,Dual Masters! - Adult Media/Game Rm - 1GB Internet,964836,Gary,,Hollywood,26.00746,-80.19631,Entire home/apt,275,2,73,8/13/2021,0.62,1,208,29,
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,160,10,18,3/19/2018,0.16,6,193,0,
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,329,4,88,8/23/2021,1.94,1,59,20,
240409,"Ocean View Condo, Pompano Beach",1235314,Felix,,Pompano Beach,26.24347,-80.08914,Entire home/apt,175,7,0,,,1,365,0,
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,100,7,10,1/1/2021,0.12,8,118,1,
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.0274,-80.14268,Entire home/apt,115,2,184,9/20/2021,2.01,4,347,33,
307735,Pleasant Room in Coral Springs,1583261,Luis,,Coral Springs,26.22994,-80.29244,Private room,65,2,19,6/5/2021,0.6,2,0,4,
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98577,-80.31657,Private room,45,180,47,3/31/2020,0.91,2,238,0,
320480,Casa Blanca - Sunny Florida Mansion,791089,Conrad,,Plantation,26.11315,-80.26487,Entire home/apt,300,7,6,4/20/2021,0.05,4,365,3,
325734,Hidden Gem for two,1304156,Nicolas,,Hollywood,26.02603,-80.14215,Entire home/apt,61,2,127,9/7/2021,1.36,4,365,19,
334321,S.Florida 1 Sunshine Vacation,407867,Eno,,Cooper City,26.05326,-80.28041,Private room,90,2,3,3/6/2016,0.04,2,180,0,
334375,S.FloridaSunshineGetawayVacation HardRock Stadium,407867,Eno,,Cooper City,26.0534,-80.28132,Entire home/apt,250,3,8,3/2/2020,0.09,2,180,0,
349538,Beachside Location! Central Beach | Resort Condo,1770887,Chris,,Fort Lauderdale,26.13588,-80.10394,Entire home/apt,429,2,32,3/27/2021,0.34,7,35,4,
366178,TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,120,7,23,6/28/2021,0.2,2,275,3,
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00831,-80.11583,Entire home/apt,125,90,11,4/1/2019,0.1,1,251,0,
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12575,-80.13523,Entire home/apt,120,7,18,4/29/2021,0.27,2,239,3,
402149,Hollywood Beach Weight Loss Camp,2007320,Christopher,,Hollywood,26.02411,-80.11628,Shared room,300,7,0,,,1,365,0,
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21706,-80.12132,Entire home/apt,385,7,2,4/9/2014,0.02,1,356,0,
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.17716,-80.09776,Entire home/apt,149,3,111,9/5/2021,1,1,215,19,
439914,30days to 360days,2185056,Maria,,Lauderhill,26.17582,-80.23224,Entire home/apt,85,360,1,11/1/2012,0.01,1,58,0,
453183,2br/2ba Furnished Luxury Hi-Rise,546634,M.R.,,Fort Lauderdale,26.12262,-80.13712,Entire home/apt,100,210,0,,,1,173,0,
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99377,-80.1183,Entire home/apt,250,13,27,3/19/2021,0.26,6,364,2,
503772,Tropical Tranquil Retreat,2484614,Cathleen,,Hollywood,26.00071,-80.15769,Entire home/apt,89,1,5,5/14/2018,0.11,1,364,0,
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98779,-80.3169,Private room,30,180,45,9/18/2021,0.55,2,117,3,
577098,Tropical/Private Room(s)/Pool,1748183,Wendy,,Plantation,26.13392,-80.2358,Private room,58,2,46,6/29/2021,0.49,3,167,8,
592583,Ocean Front Condo! Central Fort Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13621,-80.10403,Entire home/apt,499,2,22,3/14/2020,0.23,7,21,0,
624127,Sunny Bedroom -,3096101,Jan,,Pembroke Pines,26.00656,-80.25355,Private room,40,2,26,9/11/2021,0.32,1,59,2,
658344,Ocean Front Condo | Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13804,-80.10532,Entire home/apt,499,2,20,3/14/2020,0.25,7,21,0,
674776,Oceanfront studio+Pool+WiFi+Equip.Kitchen+Laundry,3426390,Giovanna,,Hollywood,26.01275,-80.11671,Entire home/apt,86,28,59,7/4/2021,0.65,2,276,7,
677855,"Tropical Eco Loft, Riverside Park - Quiet, Central",1469970,Robert,,Fort Lauderdale,26.11203,-80.16028,Private room,55,1,234,2/27/2020,2.69,1,90,0,
680331,"Oceanfront Condo in Hollywood, FL",3463815,Nelson,,Hallandale Beach,25.98637,-80.11867,Entire home/apt,141,2,12,7/4/2021,0.15,2,323,3,
694022,Gorgeous Condo in Fort Lauderdale,3484283,Nikki / Sammy,,Pompano Beach,26.21016,-80.10735,Entire home/apt,197,3,50,8/29/2021,0.56,1,264,5,
695109,Professionally Cleaned Central Beachside Location!,1770887,Chris,,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,429,2,21,3/19/2021,0.23,7,21,2,
695242,Beachside condo - Central Ft Lauderdale Beach!,1770887,Chris,,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,429,2,35,4/17/2021,0.33,7,21,6,
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,70,20,210,3/18/2018,2.01,1,0,0,
722515,"Decadent Oasis - hot tub, pool and billiards",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,580,3,216,8/30/2021,3.93,10,233,44,
724829,Heavenly Sunsets in Fort Lauderdale,3747351,Chuckie,,Fort Lauderdale,26.16462,-80.10483,Private room,155,1,13,3/17/2019,0.15,1,365,0,
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,360,3,49,7/29/2021,0.6,1,258,15,
801174,Quiet and basic,1563441,Andrew,,Margate,26.222,-80.21673,Private room,50,20,0,,,1,87,0,
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Entire home/apt,300,60,0,,,1,365,0,
817635,Deerfield Beach 2 Bed House 🏖 at The Racquet Club,4168960,Ike,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,131,7,23,6/25/2021,0.39,1,232,6,
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,195,5,7,3/17/2018,0.08,49,0,0,
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,102,6/26/2021,1,8,119,3,
912964,On the Beach Chic 2 Bedroom Miami,4787710,Shannon,,Hollywood,25.98925,-80.11882,Entire home/apt,180,2,73,8/29/2021,0.84,1,221,22,
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,70,3,12,8/2/2021,0.34,1,205,3,
916342,1/1 MARY POP APARTMENTS #206 LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,65,7,20,5/3/2021,0.22,8,119,2,
980856,2 Bedroom apartment in Coral Springs,5371244,Elizabeth,,Coral Springs,26.25763,-80.23714,Entire home/apt,100,3,145,9/3/2021,1.92,1,316,26,
990398,Sunny Fort Lauderdale Get-Away,3289399,Valerie,,Fort Lauderdale,26.14705,-80.15206,Entire home/apt,98,7,64,7/10/2021,0.72,1,0,4,
998144,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2TH FL,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,191,7,5,1/3/2021,5,49,224,2,
1002995,Master bedroom at Fort lauderdale Golf Court view,5514632,Tony,,Tamarac,26.17976,-80.22598,Private room,39,1,21,11/22/2019,0.23,12,54,0,
1038248,Mins from Everywhere-Private 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,275,7,17,8/1/2020,0.17,1,270,0,
1053872,"Waterfront, walk to beach, luxury, guesthouse",5540104,Katarina,,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,499,6,5,10/5/2020,0.05,1,333,2,
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21588,-80.22835,Private room,49,1,14,8/23/2016,0.17,12,146,0,
1076949,Key West Style Bungalow,1931430,Ana,,Fort Lauderdale,26.11777,-80.15773,Entire home/apt,130,2,44,7/26/2021,0.51,1,256,4,
1092175,OCEANFRONT ON THE BEACH. 2 BEDROOM 8TH FLOOR,2001930,Dmitri,,Hollywood,25.9867,-80.11926,Entire home/apt,249,10,6,1/4/2015,0.06,49,0,0,
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,222,1,123,8/14/2021,1.56,1,364,21,
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,117,1,99,7/26/2021,1.01,2,352,22,
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,117,1,63,7/26/2021,0.69,2,357,14,
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,92,5,81,8/17/2021,1.09,2,252,13,
1118565,Elegant Condo 250 yards from BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,94,5,74,8/10/2021,0.79,2,268,12,
1127112,Studio with kitchen at Beach Hotel,5611017,Sergio,,Hollywood,26.01299,-80.11543,Entire home/apt,59,3,108,9/13/2021,1.11,17,48,13,
1137299,Private room in Fort Lauderdale,2980266,Sonnie,,Plantation,26.12142,-80.24073,Private room,119,2,0,,,2,362,0,
1147098,3Bdrm/3Full Bath/Parking/OceanView Balconies/Patio,6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,401,2,14,5/2/2021,7.24,6,264,10,
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.17082,-80.13079,Entire home/apt,140,3,162,9/6/2021,2.83,1,208,22,
1173175,Tropical Waterfront Paradise with dockage.,2604965,Maureen,,Hollywood,26.02862,-80.16496,Entire home/apt,693,2,42,7/26/2021,0.44,1,309,9,
1206443,Luxury High-Rise Condo on the Beach,6586687,Bonnie,,Hallandale Beach,25.9785,-80.11941,Entire home/apt,170,30,0,,,1,335,0,
1231564,Mediterranean Villa - Luxury Bath,6716392,Susan,,Coconut Creek,26.31783,-80.17438,Private room,60,4,125,7/11/2021,1.84,1,349,7,
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hollywood,25.98707,-80.11925,Entire home/apt,214,4,207,9/19/2021,2.09,1,230,38,
1297784,Completely Renovated South Florida Style Home.,7056347,Chris,,Deerfield Beach,26.30155,-80.09108,Entire home/apt,495,2,173,8/18/2021,2.05,1,343,30,
1301449,3/2 Townhouse Miami/Fort Lauderdale  8 mi to beach,7076305,James,,Miramar,25.97665,-80.22364,Entire home/apt,157,5,72,9/15/2021,0.77,1,78,11,
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.99211,-80.11724,Entire home/apt,90,29,3,2/28/2015,0.96,2,226,1,
1312899,SANITIZED 2 BEDROOMS APT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12323,-80.32615,Entire home/apt,100,7,74,4/6/2021,0.8,3,273,7,
1326340,VILLAS HOLLYWOOD BEACH FL,7198092,Joseph,,Hollywood,26.01673,-80.11708,Entire home/apt,211,30,0,,,2,365,0,
1375343,Small House for two,1304156,Nicolas,,Hollywood,26.02567,-80.14201,Entire home/apt,66,2,152,9/26/2021,1.84,4,334,27,
1376873,Beautiful Boutique Beach Condo,7459306,Rachelle,,Hollywood,26.02369,-80.11542,Entire home/apt,220,3,18,8/28/2021,4.12,1,271,14,
1408900,"2/2 SLEEP 6, MARY POP APARTMENTS, LAST MINUTE OK",454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,120,7,35,4/27/2021,0.61,8,119,5,
1488341,PENTHOUSE 2/2 OCEANFRONT ON THE BEACH,2001930,Dmitri,,Hollywood,25.98819,-80.11971,Entire home/apt,249,14,9,5/16/2018,0.15,49,0,0,
1515533,Fort Lauderdale Cottage Oasis,8092157,Mike,,Fort Lauderdale,26.12414,-80.13276,Entire home/apt,130,6,79,5/7/2021,0.87,1,0,3,
1548483,"""Welcome home on Hallandale Beach""",8250407,Shane,,Hallandale Beach,25.99658,-80.12197,Entire home/apt,115,3,41,1/17/2020,0.44,1,150,0,
1559232,Luxury Beach House 20 steps from the ocean,8298928,Craig,,Hollywood,26.04979,-80.11281,Entire home/apt,249,5,18,8/4/2021,0.19,1,324,5,
1602075,Gorgeous Deerfield Home with Heated Pool,1976255,Svetlana,,Deerfield Beach,26.32091,-80.09154,Entire home/apt,264,4,91,8/28/2021,0.96,1,247,19,
1646485,Amazing location across the beach!,8737341,France,,Pompano Beach,26.22763,-80.08991,Entire home/apt,475,7,5,7/28/2021,0.71,1,301,4,
1658551,Piso 6T - Modern  Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,156,4,18,7/27/2021,0.19,7,293,2,
1661692,2 bedroom. Beach Club,8802450,Janet,,Hallandale Beach,25.98492,-80.11828,Entire home/apt,250,30,0,,,5,301,0,
1664188,3 bedroom/3 baths. Beach Club.,8802450,Janet,,Hallandale Beach,25.9843,-80.11803,Entire home/apt,750,30,0,,,5,365,0,
1664295,On the Beach!  2 bedroom/2 baths,8802450,Janet,,Hollywood,25.9873,-80.11862,Entire home/apt,250,10,0,,,5,365,0,
1682792,"COMPACT STUDIO, PRETTY, COZY,  STEPS TO BEACH",231429,Sonia,,Hollywood,26.02816,-80.11484,Entire home/apt,73,3,86,9/11/2021,1.02,1,191,20,
1717935,"Comfortable room in Plantation , hi speed int+desk",8185224,Lissette,,Plantation,26.12559,-80.25031,Private room,53,20,16,9/23/2019,0.42,3,343,1,
1724499,LUXURY 3BRM/2BA CANAL VIEW TOWNHOME- FLL AIRPORT,9088949,Love,,Davie,26.08518,-80.19924,Entire home/apt,399,1,4,7/11/2021,1.12,2,180,4,
